Food Item,Category,Compostability,Composting Method,Notes
Chicken Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Fish Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Egg Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Vegetable Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Onion Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Potato Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Spinach Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Cauliflower Pakora,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Banana Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Bread Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Mirchi Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Onion Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Potato Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Spinach Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Cauliflower Bajji,Fried Snack,Brown,Remove any plastic wrapping,Contains oil
Food Item,Category,Composability Status,Preparation Notes,Additional Notes
Chapati,Bread/Baked,Green,Shred into small pieces,No oil or butter
Idli,Steamed,Green,Break into small pieces,No chutney or sambar
Dosa,Fermented,Yellow,Tear into small pieces,Avoid adding ghee
Poha,Flattened Rice,Green,Mix with other compostables,No added nuts or spices
Upma,Semolina,Yellow,Break into smaller chunks,Avoid oil-rich preparations
Paratha,Flatbread,Yellow,Shred into small pieces,Avoid excessive ghee or butter
Samosa,Fried Snack,Red,Remove outer layer,Not recommended for composting
Pakora,Fried Snack,Red,Break into small pieces,Avoid oil-rich batter
Biryani,Rice Dish,Yellow,Separate rice and meat,Meat is not compostable
Pulao,Rice Dish,Green,Mix with other compostables,No meat or dairy
Khichdi,Lentil-Rice Dish,Green,Mix with other compostables,No ghee or butter
Vada,Fried Snack,Red,Break into small pieces,Avoid oil-rich preparations
Pani Puri,Street Food,Red,Remove fried puris,Not recommended for composting
Bhel Puri,Street Food,Yellow,Separate fried components,Avoid chutneys
Chole Bhature,Fried Bread,Red,Remove bhature,Chickpeas are compostable
Rajma,Curry,Green,Mix with other compostables,No oil or cream
Dal Tadka,Lentil Dish,Green,Mix with other compostables,No ghee or butter
Aloo Gobi,Vegetable Dish,Green,Mix with other compostables,No oil or spices
Palak Paneer,Vegetable Dish,Yellow,Separate paneer,Paneer is not compostable
Matar Paneer,Vegetable Dish,Yellow,Separate paneer,Paneer is not compostable
Baingan Bharta,Vegetable Dish,Green,Mix with other compostables,No oil or spices
Pav Bhaji,Street Food,Yellow,Separate pav,Pav is not compostable
Dhokla,Steamed Snack,Green,Break into small pieces,No chutney
Kachori,Fried Snack,Red,Remove outer layer,Not recommended for composting
Litti Chokha,Baked Snack,Yellow,Separate litti,Litti is not compostable
Misal Pav,Street Food,Yellow,Separate pav,Pav is not compostable
Pongal,Rice Dish,Green,Mix with other compostables,No ghee or butter
Rasam,Soup,Green,Mix with other compostables,No oil or spices
Sambar,Soup,Green,Mix with other compostables,No oil or spices
Kheer,Dessert,Yellow,Separate dairy components,Dairy is not compostable
Gulab Jamun,Dessert,Red,Remove syrup,Not recommended for composting
Rasgulla,Dessert,Yellow,Separate syrup,Syrup is not compostable
Jalebi,Dessert,Red,Remove syrup,Not recommended for composting
Ladoo,Dessert,Yellow,Break into small pieces,No ghee or nuts
Barfi,Dessert,Yellow,Break into small pieces,No ghee or nuts
Halwa,Dessert,Yellow,Mix with other compostables,No ghee or nuts
Payasam,Dessert,Yellow,Separate dairy components,Dairy is not compostable
Puran Poli,Sweet Flatbread,Yellow,Shred into small pieces,No ghee or butter
Modak,Sweet Dumpling,Yellow,Break into small pieces,No ghee or nuts
Shrikhand,Dessert,Yellow,Separate dairy components,Dairy is not compostable
Papdi Chaat,Street Food,Red,Remove fried papdi,Not recommended for composting
Sev Puri,Street Food,Red,Remove fried puris,Not recommended for composting
Dahi Puri,Street Food,Red,Remove fried puris,Not recommended for composting
Aloo Tikki,Fried Snack,Red,Break into small pieces,Avoid oil-rich preparations
Chana Masala,Curry,Green,Mix with other compostables,No oil or spices
Malai Kofta,Fried Snack,Red,Remove fried koftas,Not recommended for composting
Vegetable Biryani,Rice Dish,Green,Mix with other compostables,No oil or spices
Egg Curry,Curry,Yellow,Separate eggs,Eggs are not compostable
Fish Curry,Curry,Red,Remove fish,Fish is not compostable
Chicken Curry,Curry,Red,Remove chicken,Chicken is not compostable
Mutton Curry,Curry,Red,Remove mutton,Mutton is not compostable
Paneer Tikka,Grilled Snack,Yellow,Separate paneer,Paneer is not compostable
Tandoori Chicken,Grilled Snack,Red,Remove chicken,Chicken is not compostable
Vegetable Pulao,Rice Dish,Green,Mix with other compostables,No oil or spices
Jeera Rice,Rice Dish,Green,Mix with other compostables,No oil or spices
Lemon Rice,Rice Dish,Green,Mix with other compostables,No oil or spices
Tomato Rice,Rice Dish,Green,Mix with other compostables,No oil or spices
Coconut Rice,Rice Dish,Green,Mix with other compostables,No oil or spices
Curd Rice,Rice Dish,Yellow,Separate curd,Curd is not compostable
Vegetable Fried Rice,Rice Dish,Yellow,Separate oil-rich components,Avoid oil-rich preparations
Egg Fried Rice,Rice Dish,Red,Remove eggs,Eggs are not compostable
Chicken Fried Rice,Rice Dish,Red,Remove chicken,Chicken is not compostable
Vegetable Noodles,Noodles,Yellow,Separate oil-rich components,Avoid oil-rich preparations
Egg Noodles,Noodles,Red,Remove eggs,Eggs are not compostable
Chicken Noodles,Noodles,Red,Remove chicken,Chicken is not compostable
Vegetable Manchurian,Indo-Chinese,Yellow,Separate fried components,Avoid oil-rich preparations
Gobi Manchurian,Indo-Chinese,Yellow,Separate fried components,Avoid oil-rich preparations
Paneer Manchurian,Indo-Chinese,Yellow,Separate paneer,Paneer is not compostable
Chicken Manchurian,Indo-Chinese,Red,Remove chicken,Chicken is not compostable
Vegetable Spring Rolls,Indo-Chinese,Red,Remove fried wrappers,Not recommended for composting
Chicken Spring Rolls,Indo-Chinese,Red,Remove chicken and wrappers,Not recommended for composting
Vegetable Momos,Steamed Snack,Green,Break into small pieces,No chutney
Chicken Momos,Steamed Snack,Red,Remove chicken,Chicken is not compostable
Paneer Momos,Steamed Snack,Yellow,Separate paneer,Paneer is not compostable
Vegetable Cutlet,Fried Snack,Red,Remove fried coating,Not recommended for composting
Chicken Cutlet,Fried Snack,Red,Remove chicken and coating,Not recommended for composting
Paneer Cutlet,Fried Snack,Red,Remove paneer and coating,Not recommended for composting
Vegetable Pakora,Fried Snack,Red,Break into small pieces,Avoid oil-rich batter
Onion Pakora,Fried Snack,Red,Break into small pieces,Avoid oil-rich batter
Paneer Pakora,Fried Snack,Red,Break into small pieces,Avoid oil-rich batter
Chicken Pakora,Fried Snack,Red,Remove chicken,Chicken is not compostable
Vegetable Samosa,Fried Snack,Red,Remove outer layer,Not recommended for composting
Paneer Samosa,Fried Snack,Red,Remove outer layer,Not recommended for composting
Chicken Samosa,Fried Snack,Red,Remove chicken and outer layer,Not recommended for composting
Vegetable Kachori,Fried Snack,Red,Remove outer layer,Not recommended for composting
Dal Kachori,Fried Snack,Red,Remove outer layer,Not recommended for composting
Pyaaz Kachori,Fried Snack,Red,Remove outer layer,Not recommended for composting
Vegetable Pattice,Fried Snack,Red,Remove fried coating,Not recommended for composting
Paneer Pattice,Fried Snack,Red,Remove paneer and coating,Not recommended for composting
Chicken Pattice,Fried Snack,Red,Remove chicken and coating,Not recommended for composting
Vegetable Roll,Street Food,Red,Remove fried wrapper,Not recommended for composting
Egg Roll,Street Food,Red,Remove egg and wrapper,Not recommended for composting
Chicken Roll,Street Food,Red,Remove chicken and wrapper,Not recommended for composting
Paneer Roll,Street Food,Red,Remove paneer and wrapper,Not recommended for composting
Vegetable Frankie,Street Food,Red,Remove fried wrapper,Not recommended for composting
Egg Frankie,Street Food,Red,Remove egg and wrapper,Not recommended for composting
Chicken Frankie,Street Food,Red,Remove chicken and wrapper,Not recommended for composting
Paneer Frankie,Street Food,Red,Remove paneer and wrapper,Not recommended for composting
Vegetable Sandwich,Snack,Yellow,Separate bread,Bread is not compostable
Grilled Cheese Sandwich,Snack,Yellow,Separate bread and cheese,Bread and cheese are not compostable
Vegetable Burger,Snack,Red,Remove bun and fried patty,Not recommended for composting
Chicken Burger,Snack,Red,Remove chicken and bun,Not recommended for composting
Paneer Burger,Snack,Red,Remove paneer and bun,Not recommended for composting
Vegetable Pizza,Snack,Red,Remove cheese and base,Not recommended for composting
Chicken Pizza,Snack,Red,"Remove chicken, cheese, and base",Not recommended for composting
Paneer Pizza,Snack,Red,"Remove paneer, cheese, and base",Not recommended for composting
Vegetable Wrap,Snack,Red,Remove wrapper,Not recommended for composting
Chicken Wrap,Snack,Red,Remove chicken and wrapper,Not recommended for composting
Paneer Wrap,Snack,Red,Remove paneer and wrapper,Not recommended for composting
Vegetable Salad,Salad,Green,Mix with other compostables,No dressing or cheese
Fruit Salad,Salad,Green,Mix with other compostables,No cream or dressing
Chicken Salad,Salad,Red,Remove chicken,Chicken is not compostable
Paneer Salad,Salad,Yellow,Separate paneer,Paneer is not compostable
Vegetable Soup,Soup,Green,Mix with other compostables,No cream or oil
Tomato Soup,Soup,Green,Mix with other compostables,No cream or oil
Chicken Soup,Soup,Red,Remove chicken,Chicken is not compostable
Paneer Soup,Soup,Yellow,Separate paneer,Paneer is not compostable
Vegetable Stew,Stew,Green,Mix with other compostables,No cream or oil
Chicken Stew,Stew,Red,Remove chicken,Chicken is not compostable
Paneer Stew,Stew,Yellow,Separate paneer,Paneer is not compostable
Vegetable Curry,Curry,Green,Mix with other compostables,No oil or spices
Chicken Curry,Curry,Red,Remove chicken,Chicken is not compostable
Paneer Curry,Curry,Yellow,Separate paneer,Paneer is not compostable
Vegetable Stir Fry,Stir Fry,Green,Mix with other compostables,No oil or spices
Chicken Stir Fry,Stir Fry,Red,Remove chicken,Chicken is not compostable
Paneer Stir Fry,Stir Fry,Yellow,Separate paneer,Paneer is not compostable
Vegetable Kebabs,Grilled Snack,Green,Mix with other compostables,No oil or spices
Chicken Kebabs,Grilled Snack,Red,Remove chicken,Chicken is not compostable
Paneer Kebabs,Grilled Snack,Yellow,Separate paneer,Paneer is not compostable
Vegetable Tikka,Grilled Snack,Green,Mix with other compostables,No oil or spices
Chicken Tikka,Grilled Snack,Red,Remove chicken,Chicken is not compostable
Paneer Tikka,Grilled Snack,Yellow,Separate paneer,Paneer is not compostable
